Title;Link;user1;user2;user3;user4;user5;user6;user7;user8;user9;user10;user11;user12;user13;user14;user15;user16
Almond Rice Pudding;https://medlineplus.gov/recipes/almond-rice-pudding/;0.0;1.0;4.0;4.0;5.0;3.0;4.0;3.0;3.0;2.0;2.0;4.0;3.0;2.0;3.0;2
Any Berry Sauce;https://medlineplus.gov/recipes/any-berry-sauce/;3.0;3.0;4.0;3.0;4.0;4.0;4.0;3.0;1.0;4.0;3.0;2.0;2.0;4.0;4.0;2
Apple Bars;https://medlineplus.gov/recipes/apple-bars/;4.0;3.0;4.0;3.0;5.0;3.0;2.0;4.0;4.0;4.0;3.0;3.0;2.0;2.0;2.0;2
Apple Sandwiches;https://medlineplus.gov/recipes/apple-sandwiches/;2.0;0.0;2.0;3.0;1.0;2.0;2.0;2.0;1.0;3.0;2.0;3.0;;0.0;0.0;0
Applesauce French Toast;https://medlineplus.gov/recipes/applesauce-french-toast/;1.0;1.0;4.0;3.0;3.0;4.0;2.0;4.0;1.0;2.0;3.0;1.0;3.0;4.0;2.0;3
Autumn Squash Bisque with Ginger;https://medlineplus.gov/recipes/autumn-squash-bisque-with-ginger/;1.0;0.0;3.0;1.0;5.0;2.0;4.0;1.0;1.0;3.0;2.0;2.0;;0.0;1.0;2
Baked Apple and Cranberries;https://medlineplus.gov/recipes/baked-apple-and-cranberries/;4.0;1.0;5.0;4.0;5.0;4.0;3.0;3.0;2.0;4.0;1.0;2.0;4.0;3.0;1.0;1
Baked Berry Oatmeal;https://medlineplus.gov/recipes/baked-berry-oatmeal/;5.0;3.0;4.0;5.0;5.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;4.0;2.0;1.0;1
Baked Cauliflower Tots;https://medlineplus.gov/recipes/baked-cauliflower-tots/;3.0;3.0;5.0;3.0;5.0;2.0;4.0;1.0;1.0;2.0;2.0;1.0;;0.0;5.0;2
Baked Cinnamon Tortilla Chips;https://medlineplus.gov/recipes/baked-cinnamon-tortilla-chips/;0.0;2.0;3.0;2.0;5.0;4.0;2.0;1.0;2.0;3.0;2.0;2.0;;2.0;2.0;4
Baked Meatballs;https://medlineplus.gov/recipes/baked-meatballs/;5.0;5.0;2.0;4.0;3.0;5.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;4
Baked Tilapia with Tomatoes;https://medlineplus.gov/recipes/baked-tilapia-with-tomatoes/;5.0;2.0;4.0;1.0;3.0;3.0;2.0;4.0;4.0;4.0;2.0;3.0;;2.0;0.0;2
Baked Tofu;https://medlineplus.gov/recipes/baked-tofu/;1.0;4.0;4.0;2.0;2.0;1.0;4.0;1.0;1.0;3.0;4.0;3.0;2.0;0.0;0.0;0
Baked Tomatoes with Cheese;https://medlineplus.gov/recipes/baked-tomatoes-with-cheese/;4.0;0.0;5.0;1.0;4.0;4.0;5.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;0.0;0
Baked Tortilla Chips;https://medlineplus.gov/recipes/baked-tortilla-chips/;4.0;3.0;3.0;4.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4
Baked Zucchini with Tomato Sauce;https://medlineplus.gov/recipes/baked-zucchini-with-tomato-sauce/;3.0;3.0;5.0;3.0;5.0;3.0;4.0;4.0;1.0;4.0;4.0;4.0;3.0;4.0;5.0;1
Banana Boats;https://medlineplus.gov/recipes/banana-boats/;2.0;0.0;2.0;1.0;4.0;3.0;3.0;3.0;1.0;2.0;5.0;4.0;5.0;4.0;1.0;2
Banana Oatmeal Bread;https://medlineplus.gov/recipes/banana-oatmeal-bread/;1.0;0.0;4.0;5.0;4.0;4.0;2.0;1.0;2.0;3.0;4.0;4.0;4.0;3.0;2.0;2
Banana Oatmeal Cookies;https://medlineplus.gov/recipes/banana-oatmeal-cookies/;2.0;0.0;4.0;5.0;4.0;4.0;2.0;2.0;4.0;2.0;4.0;4.0;3.0;3.0;2.0;2
Barley, Bean, and Corn Salad;https://medlineplus.gov/recipes/barley-bean-and-corn-salad/;1.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;1.0;1.0;2.0;3.0;1.0;2.0;0.0;1
Bean Salad;https://medlineplus.gov/recipes/bean-salad/;1.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1
Beef and Broccoli;https://medlineplus.gov/recipes/beef-and-broccoli/;2.0;5.0;3.0;4.0;2.0;4.0;2.0;3.0;2.0;3.0;5.0;4.0;3.0;1.0;5.0;3
Beet Dip;https://medlineplus.gov/recipes/beet-dip/;1.0;1.0;0.0;0.0;1.0;2.0;3.0;0.0;4.0;3.0;1.0;3.0;1.0;1.0;0.0;1
Bell Pepper Nachos;https://medlineplus.gov/recipes/bell-pepper-nachos/;5.0;3.0;1.0;4.0;3.0;3.0;3.0;1.0;4.0;4.0;2.0;4.0;3.0;5.0;5.0;3
Berry Blast Off;https://medlineplus.gov/recipes/berry-blast-off/;2.0;5.0;5.0;4.0;4.0;4.0;4.0;1.0;1.0;2.0;4.0;3.0;4.0;3.0;3.0;3
Black Bean Soup;https://medlineplus.gov/recipes/black-bean-soup/;0.0;3.0;2.0;1.0;2.0;2.0;4.0;1.0;0.0;3.0;2.0;3.0;1.0;0.0;0.0;2
Blueberry Tofu Smoothie;https://medlineplus.gov/recipes/blueberry-tofu-smoothie/;1.0;0.0;4.0;3.0;1.0;3.0;3.0;1.0;0.0;2.0;3.0;1.0;4.0;0.0;0.0;1
Bread Pudding in the Microwave;https://medlineplus.gov/recipes/bread-pudding-in-the-microwave/;0.0;1.0;2.0;4.0;3.0;5.0;2.0;2.0;4.0;2.0;3.0;4.0;5.0;5.0;1.0;3
Breakfast Banana Split;https://medlineplus.gov/recipes/breakfast-banana-split/;2.0;0.0;3.0;4.0;4.0;4.0;2.0;3.0;2.0;2.0;4.0;5.0;5.0;3.0;3.0;2
Breakfast Burritos;https://medlineplus.gov/recipes/breakfast-burritos/;5.0;1.0;2.0;3.0;2.0;5.0;4.0;3.0;2.0;4.0;4.0;5.0;4.0;3.0;3.0;4
Brocco Poppers;https://medlineplus.gov/recipes/brocco-poppers/;4.0;1.0;4.0;3.0;3.0;3.0;3.0;2.0;1.0;3.0;1.0;3.0;1.0;0.0;5.0;2
Broccoli and Everything Salad;https://medlineplus.gov/recipes/broccoli-and-everything-salad/;1.0;1.0;3.0;3.0;4.0;3.0;4.0;2.0;1.0;4.0;3.0;2.0;2.0;0.0;1.0;1
Brussels Sprouts Cranberry and Bulgur Salad;https://medlineplus.gov/recipes/brussels-sprouts-cranberry-and-bulgur-salad/;0.0;3.0;4.0;3.0;4.0;2.0;4.0;2.0;1.0;3.0;1.0;2.0;1.0;0.0;1.0;1
Buttermilk Scones;https://medlineplus.gov/recipes/buttermilk-scones/;4.0;4.0;4.0;4.0;5.0;4.0;3.0;1.0;0.0;2.0;5.0;4.0;3.0;4.0;3.0;3
Cabbage Stir Fry;https://medlineplus.gov/recipes/cabbage-stir-fry/;4.0;1.0;1.0;2.0;4.0;3.0;4.0;1.0;1.0;2.0;3.0;2.0;;1.0;2.0;3
Carrot Ginger Salad;https://medlineplus.gov/recipes/carrot-ginger-salad/;0.0;1.0;1.0;1.0;4.0;2.0;4.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;1.0;2
Cheesy Beef Pasta;https://medlineplus.gov/recipes/cheesy-beef-pasta/;5.0;4.0;5.0;4.0;3.0;5.0;4.0;3.0;2.0;2.0;5.0;5.0;4.0;4.0;4.0;1
Cheesy Polenta Pie;https://medlineplus.gov/recipes/cheesy-polenta-pie/;0.0;1.0;5.0;2.0;4.0;4.0;4.0;3.0;1.0;3.0;4.0;4.0;;2.0;2.0;1
Cheesy Potato Soup;https://medlineplus.gov/recipes/cheesy-potato-soup/;2.0;0.0;4.0;4.0;3.0;4.0;2.0;3.0;1.0;2.0;5.0;4.0;4.0;0.0;1.0;1
Cherry Puff Pancake;https://medlineplus.gov/recipes/cherry-puff-pancake/;5.0;0.0;5.0;4.0;4.0;3.0;4.0;3.0;4.0;2.0;3.0;5.0;5.0;5.0;4.0;3
Chicken Cabbage Stir-fry;https://medlineplus.gov/recipes/chicken-cabbage-stir-fry/;2.0;3.0;5.0;4.0;5.0;4.0;4.0;2.0;3.0;3.0;4.0;5.0;3.0;3.0;3.0;3
Chicken Creole;https://medlineplus.gov/recipes/chicken-creole/;3.0;3.0;3.0;3.0;5.0;3.0;4.0;3.0;1.0;4.0;3.0;3.0;;4.0;3.0;3
Chicken Mole;https://medlineplus.gov/recipes/chicken-mole/;3.0;3.0;5.0;4.0;5.0;4.0;4.0;2.0;4.0;4.0;3.0;3.0;3.0;1.0;2.0;
Chicken Pepper Bake;https://medlineplus.gov/recipes/chicken-pepper-bake/;3.0;3.0;4.0;3.0;5.0;4.0;5.0;3.0;3.0;4.0;4.0;3.0;5.0;5.0;4.0;
Chicken Soup with Tortilla;https://medlineplus.gov/recipes/chicken-soup-with-tortilla/;2.0;0.0;4.0;2.0;5.0;4.0;4.0;3.0;2.0;4.0;2.0;4.0;5.0;3.0;1.0;4
Chicken and Black Bean Salsa Burritos;https://medlineplus.gov/recipes/chicken-and-black-bean-salsa-burritos/;3.0;4.0;4.0;2.0;3.0;5.0;5.0;2.0;3.0;4.0;3.0;5.0;3.0;2.0;1.0;4
Chicken and Dumpling Casserole;https://medlineplus.gov/recipes/chicken-and-dumpling-casserole/;2.0;0.0;2.0;3.0;4.0;3.0;5.0;2.0;2.0;3.0;2.0;3.0;5.0;1.0;1.0;4
Chicken and Rice;https://medlineplus.gov/recipes/chicken-and-rice/;4.0;0.0;5.0;4.0;5.0;4.0;4.0;4.0;4.0;3.0;5.0;2.0;4.0;2.0;2.0;3
Chicken, Broccoli, and Cheese Skillet;https://medlineplus.gov/recipes/chicken-broccoli-and-cheese-skillet/;3.0;0.0;5.0;5.0;5.0;4.0;4.0;3.0;2.0;3.0;4.0;2.0;3.0;0.0;4.0;1
Classic Honey Flan;https://medlineplus.gov/recipes/classic-honey-flan/;2.0;0.0;0.0;1.0;2.0;5.0;2.0;3.0;1.0;2.0;3.0;4.0;3.0;5.0;4.0;3
Classic Macaroni and Cheese;https://medlineplus.gov/recipes/classic-macaroni-and-cheese/;5.0;0.0;5.0;5.0;4.0;5.0;4.0;4.0;4.0;3.0;5.0;4.0;5.0;0.0;5.0;4
Corn Pancakes;https://medlineplus.gov/recipes/corn-pancakes/;0.0;0.0;5.0;4.0;3.0;4.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;0.0;0.0;3
Cornbread;https://medlineplus.gov/recipes/cornbread/;1.0;0.0;5.0;4.0;5.0;3.0;2.0;2.0;1.0;2.0;4.0;3.0;3.0;2.0;2.0;2
Couscous With Carrots, Walnuts, and Raisins;https://medlineplus.gov/recipes/couscous-with-carrots-walnuts-and-raisins/;0.0;3.0;5.0;3.0;5.0;3.0;5.0;3.0;0.0;3.0;2.0;2.0;3.0;0.0;0.0;1
Cranberry Applesauce;https://medlineplus.gov/recipes/cranberry-applesauce/;4.0;0.0;4.0;2.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;4.0;3.0;2
Cranberry Oatmeal Balls;https://medlineplus.gov/recipes/cranberry-oatmeal-balls/;4.0;4.0;5.0;3.0;4.0;2.0;5.0;2.0;1.0;2.0;4.0;1.0;;2.0;1.0;1
Creamy Fruit Salad;https://medlineplus.gov/recipes/creamy-fruit-salad/;1.0;3.0;5.0;4.0;5.0;4.0;1.0;3.0;4.0;2.0;2.0;3.0;3.0;4.0;2.0;2
Creamy Potato Leek Soup;https://medlineplus.gov/recipes/creamy-potato-leek-soup/;1.0;0.0;4.0;2.0;3.0;3.0;1.0;2.0;2.0;4.0;3.0;4.0;;1.0;4.0;3
Crispy Parmesan Baked Fish;https://medlineplus.gov/recipes/crispy-parmesan-baked-fish/;3.0;2.0;5.0;3.0;4.0;4.0;3.0;3.0;4.0;3.0;4.0;4.0;0.0;0.0;0.0;2
Crunchy Chicken Nuggets;https://medlineplus.gov/recipes/crunchy-chicken-nuggets/;5.0;4.0;4.0;5.0;2.0;5.0;2.0;4.0;4.0;4.0;5.0;4.0;5.0;5.0;4.0;5
Curried Pumpkin Soup;https://medlineplus.gov/recipes/curried-pumpkin-soup/;5.0;4.0;5.0;3.0;5.0;4.0;4.0;3.0;4.0;3.0;3.0;3.0;5.0;2.0;3.0;4
Do-It-Yourself Trail Mix;https://medlineplus.gov/recipes/do-it-yourself-trail-mix/;0.0;4.0;3.0;1.0;5.0;3.0;4.0;3.0;1.0;3.0;2.0;1.0;3.0;1.0;1.0;3
Dried Bananas;https://medlineplus.gov/recipes/dried-bananas/;3.0;0.0;4.0;2.0;1.0;4.0;1.0;1.0;0.0;2.0;3.0;4.0;0.0;4.0;0.0;3
Dry Roasted Garbanzo Beans;https://medlineplus.gov/recipes/dry-roasted-garbanzo-beans/;0.0;1.0;2.0;3.0;1.0;4.0;1.0;1.0;0.0;2.0;1.0;3.0;;1.0;0.0;1
Dutch Red Cabbage with Apples;https://medlineplus.gov/recipes/dutch-red-cabbage-with-apples/;3.0;0.0;4.0;2.0;3.0;3.0;4.0;1.0;1.0;3.0;1.0;3.0;;4.0;4.0;2
Easy Blueberry Cobbler;https://medlineplus.gov/recipes/easy-blueberry-cobbler/;3.0;3.0;4.0;3.0;3.0;3.0;4.0;1.0;1.0;2.0;3.0;3.0;;3.0;2.0;
Easy Cheesy Enchiladas;https://medlineplus.gov/recipes/easy-cheesy-enchiladas/;4.0;1.0;4.0;4.0;2.0;4.0;4.0;3.0;2.0;4.0;2.0;3.0;3.0;2.0;3.0;2
Easy Manicotti;https://medlineplus.gov/recipes/easy-manicotti/;1.0;5.0;5.0;5.0;2.0;4.0;4.0;2.0;1.0;;4.0;3.0;;2.0;3.0;
Easy Meatballs;https://medlineplus.gov/recipes/easy-meatballs/;5.0;5.0;5.0;5.0;2.0;5.0;4.0;3.0;1.0;3.0;5.0;4.0;5.0;4.0;4.0;4
Fabulous Fig Bars;https://medlineplus.gov/recipes/fabulous-fig-bars/;2.0;2.0;4.0;2.0;5.0;3.0;2.0;1.0;1.0;2.0;1.0;3.0;;0.0;0.0;
Farmers Market Salsa;https://medlineplus.gov/recipes/farmers-market-salsa/;3.0;3.0;1.0;2.0;2.0;4.0;4.0;2.0;1.0;4.0;2.0;4.0;;3.0;0.0;4
Favorite Pancakes without Eggs;https://medlineplus.gov/recipes/favorite-pancakes-without-eggs/;4.0;0.0;5.0;4.0;5.0;5.0;2.0;3.0;1.0;3.0;5.0;5.0;;5.0;5.0;3
Fiesta Barley Salad;https://medlineplus.gov/recipes/fiesta-barley-salad/;0.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;2.0;3.0;4.0;;2.0;1.0;2
Fish Salad;https://medlineplus.gov/recipes/fish-salad/;0.0;0.0;1.0;3.0;3.0;2.0;5.0;3.0;3.0;2.0;2.0;4.0;0.0;0.0;0.0;3
Fish Tacos;https://medlineplus.gov/recipes/fish-tacos/;1.0;0.0;1.0;3.0;1.0;3.0;4.0;3.0;3.0;2.0;1.0;4.0;0.0;0.0;0.0;3
Fish and Spinach Bake;https://medlineplus.gov/recipes/fish-and-spinach-bake/;1.0;0.0;1.0;1.0;3.0;1.0;5.0;3.0;2.0;3.0;1.0;3.0;0.0;0.0;0.0;2
Flavorful Green Beans;https://medlineplus.gov/recipes/flavorful-green-beans/;1.0;3.0;4.0;4.0;3.0;3.0;4.0;2.0;1.0;4.0;1.0;3.0;;4.0;5.0;1
Frozen Strawberry Yogurt;https://medlineplus.gov/recipes/frozen-strawberry-yogurt/;5.0;5.0;3.0;3.0;1.0;4.0;3.0;3.0;4.0;2.0;5.0;5.0;3.0;5.0;0.0;4
Fruit Pizza;https://medlineplus.gov/recipes/fruit-pizza/;3.0;4.0;3.0;3.0;1.0;4.0;1.0;2.0;1.0;2.0;2.0;0.0;;5.0;3.0;1
Fruit and Nut Slaw;https://medlineplus.gov/recipes/fruit-and-nut-slaw/;1.0;4.0;5.0;2.0;5.0;3.0;1.0;2.0;1.0;3.0;1.0;3.0;;2.0;2.0;1
Fruity French Toast Casserole;https://medlineplus.gov/recipes/fruity-french-toast-casserole/;2.0;2.0;4.0;3.0;4.0;4.0;1.0;2.0;1.0;2.0;2.0;4.0;;3.0;2.0;1
Garden Vegetable Cakes;https://medlineplus.gov/recipes/garden-vegetable-cakes/;2.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;3.0;0.0;2.0;;1.0;0.0;1
Garlic Bok Choy;https://medlineplus.gov/recipes/garlic-bok-choy/;1.0;0.0;1.0;1.0;4.0;2.0;4.0;1.0;4.0;4.0;4.0;2.0;3.0;4.0;4.0;3
Garlic Ginger Ramen with Beef;https://medlineplus.gov/recipes/garlic-ginger-ramen-with-beef/;2.0;3.0;4.0;4.0;4.0;4.0;4.0;2.0;3.0;3.0;4.0;5.0;5.0;2.0;2.0;4
Ginger Almond Asparagus;https://medlineplus.gov/recipes/ginger-almond-asparagus/;0.0;3.0;3.0;1.0;5.0;2.0;5.0;1.0;2.0;3.0;0.0;3.0;2.0;0.0;0.0;0
Glazed Carrots and Cranberries;https://medlineplus.gov/recipes/glazed-carrots-and-cranberries/;1.0;4.0;4.0;2.0;4.0;3.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;3.0;2.0;1
Glazed Squash;https://medlineplus.gov/recipes/glazed-squash/;0.0;1.0;2.0;1.0;2.0;1.0;3.0;1.0;1.0;2.0;1.0;2.0;;1.0;0.0;1
Green Pea Soup;https://medlineplus.gov/recipes/green-pea-soup/;3.0;5.0;3.0;3.0;5.0;3.0;4.0;2.0;1.0;2.0;3.0;3.0;;0.0;0.0;2
Green Pineapple Power Smoothie;https://medlineplus.gov/recipes/green-pineapple-power-smoothie/;4.0;4.0;3.0;3.0;4.0;4.0;4.0;3.0;4.0;3.0;0.0;;;;;3
Green Salad with Peas;https://medlineplus.gov/recipes/green-salad-with-peas/;0.0;3.0;2.0;3.0;4.0;3.0;4.0;2.0;1.0;3.0;2.0;;;;;1
Greens with Carrots;https://medlineplus.gov/recipes/greens-with-carrots/;1.0;3.0;2.0;3.0;5.0;2.0;5.0;3.0;1.0;2.0;3.0;;;;;1
Grilled Tuna with Chickpea and Spinach Salad;https://medlineplus.gov/recipes/grilled-tuna-with-chickpea-and-spinach-salad/;3.0;5.0;1.0;4.0;5.0;3.0;5.0;3.0;2.0;3.0;4.0;;;;;2
Ham and Vegetable Chowder;https://medlineplus.gov/recipes/ham-and-vegetable-chowder/;2.0;0.0;2.0;3.0;4.0;3.0;3.0;3.0;1.0;;4.0;;;;;1
Healthy Carrot Cake Cookies;https://medlineplus.gov/recipes/healthy-carrot-cake-cookies/;1.0;3.0;3.0;3.0;5.0;4.0;2.0;2.0;4.0;2.0;3.0;;;;;0
Honey Mustard Dressing;https://medlineplus.gov/recipes/honey-mustard-dressing/;0.0;2.0;4.0;3.0;5.0;4.0;2.0;3.0;2.0;4.0;2.0;;;;;2
Hot Apple Orange Cider;https://medlineplus.gov/recipes/hot-apple-orange-cider/;3.0;0.0;3.0;2.0;3.0;3.0;3.0;1.0;0.0;3.0;3.0;;;;;3
Hummus (no tahini);https://medlineplus.gov/recipes/hummus-no-tahini/;0.0;4.0;2.0;2.0;5.0;2.0;4.0;1.0;1.0;3.0;2.0;;;;;0
Hummus (with tahini);https://medlineplus.gov/recipes/hummus-with-tahini/;0.0;4.0;3.0;3.0;5.0;2.0;4.0;1.0;1.0;3.0;2.0;;;;;0
Indian Lentils and Pasta;https://medlineplus.gov/recipes/indian-lentils-and-pasta/;1.0;2.0;3.0;4.0;5.0;3.0;3.0;2.0;2.0;2.0;3.0;;;;;2
Jack-O-Lanterns (Pumpkin Pancakes);https://medlineplus.gov/recipes/jack-o-lanterns-pumpkin-pancakes/;2.0;2.0;4.0;2.0;3.0;3.0;3.0;1.0;1.0;2.0;3.0;;;;;3
Kale Dip;https://medlineplus.gov/recipes/kale-dip/;1.0;1.0;2.0;3.0;3.0;3.0;3.0;1.0;3.0;2.0;0.0;;;;;0
Kale and Cranberry Stir-Fry;https://medlineplus.gov/recipes/kale-and-cranberry-stir-fry/;2.0;1.0;2.0;2.0;3.0;2.0;3.0;1.0;1.0;3.0;1.0;;;;;0
Kale and White Bean Soup;https://medlineplus.gov/recipes/kale-and-white-bean-soup/;0.0;1.0;2.0;2.0;1.0;3.0;3.0;1.0;1.0;2.0;2.0;;;;;0
Kiwi Salsa;https://medlineplus.gov/recipes/kiwi-salsa/;0.0;5.0;0.0;2.0;1.0;4.0;3.0;2.0;2.0;3.0;1.0;;;;;2
Kiwi, Banana, and Apple Salad;https://medlineplus.gov/recipes/kiwi-banana-and-apple-salad/;5.0;0.0;5.0;4.0;3.0;4.0;3.0;2.0;3.0;3.0;4.0;;;;;2
Leek and Mushroom Orzo;https://medlineplus.gov/recipes/leek-and-mushroom-orzo/;1.0;0.0;5.0;4.0;4.0;3.0;4.0;1.0;2.0;4.0;1.0;;;;;0
Lemon Dill Brussels Sprouts;https://medlineplus.gov/recipes/lemon-dill-brussels-sprouts/;0.0;3.0;3.0;3.0;3.0;2.0;4.0;1.0;0.0;1.0;3.0;;;;;0
Lemony Garbanzo Bean Dip;https://medlineplus.gov/recipes/lemony-garbanzo-bean-dip/;0.0;3.0;3.0;3.0;3.0;3.0;4.0;1.0;0.0;2.0;0.0;;;;;0
Lentil Confetti Salad;https://medlineplus.gov/recipes/lentil-confetti-salad/;0.0;3.0;3.0;3.0;5.0;3.0;1.0;1.0;1.0;3.0;1.0;;;;;1
Lentil Taco Filling;https://medlineplus.gov/recipes/lentil-taco-filling/;0.0;3.0;3.0;4.0;5.0;3.0;3.0;1.0;2.0;3.0;1.0;;;;;2
Low-fat Pumpkin Bread;https://medlineplus.gov/recipes/low-fat-pumpkin-bread/;2.0;4.0;4.0;2.0;5.0;2.0;2.0;1.0;0.0;3.0;2.0;;;;;1
Mango Shake;https://medlineplus.gov/recipes/mango-shake/;5.0;6.0;5.0;3.0;5.0;5.0;3.0;2.0;4.0;3.0;5.0;;;;;4
