Title;Link;user1;user2;user3;user4;user5;user6;user7;user8;user9;user10;user11;user12;user13;user14;user15;user16
Mashed Parsnips and Potatoes;https://medlineplus.gov/recipes/mashed-parsnips-and-potatoes/;3.0;5.0;2.0;3.0;1.0;4.0;2.0;2.0;2.0;4.0;3.0;;;;;2
Mashed Potatoes;https://medlineplus.gov/recipes/mashed-potatoes/;5.0;5.0;5.0;4.0;2.0;4.0;3.0;2.0;2.0;4.0;4.0;;;;;5
Meatball Soup;https://medlineplus.gov/recipes/meatball-soup/;5.0;5.0;4.0;4.0;2.0;4.0;2.0;3.0;3.0;4.0;5.0;;;;;4
Melon Cooler;https://medlineplus.gov/recipes/melon-cooler/;3.0;5.0;3.0;2.0;5.0;5.0;1.0;2.0;1.0;3.0;2.0;;;;;3
Melon and Mint;https://medlineplus.gov/recipes/melon-and-mint/;3.0;5.0;3.0;1.0;1.0;4.0;2.0;2.0;2.0;4.0;1.0;;;;;3
Mexican Vegetable and Beef Skillet Meal;https://medlineplus.gov/recipes/mexican-vegetable-and-beef-skillet-meal/;3.0;5.0;4.0;3.0;2.0;3.0;4.0;3.0;2.0;3.0;3.0;;;;;4
Minestrone Soup;https://medlineplus.gov/recipes/minestrone-soup/;0.0;5.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;;;;;3
Mushroom Bulgur Pilaf;https://medlineplus.gov/recipes/mushroom-bulgur-pilaf/;0.0;0.0;5.0;3.0;5.0;3.0;4.0;2.0;2.0;2.0;4.0;;;;;1
My Personal Pizza;https://medlineplus.gov/recipes/my-personal-pizza/;5.0;5.0;4.0;4.0;5.0;4.0;2.0;5.0;5.0;4.0;4.0;;;;;3
No-Yeast Pizza Crust;https://medlineplus.gov/recipes/no-yeast-pizza-crust/;4.0;5.0;5.0;4.0;5.0;4.0;1.0;2.0;2.0;3.0;3.0;;;;;2
Oatmeal Pecan Waffles (or Pancakes);https://medlineplus.gov/recipes/oatmeal-pecan-waffles-or-pancakes/;4.0;5.0;4.0;3.0;5.0;4.0;3.0;1.0;1.0;4.0;3.0;;;;;2
One-Pan Chicken Alfredo;https://medlineplus.gov/recipes/one-pan-chicken-alfredo/;4.0;5.0;5.0;3.0;5.0;4.0;1.0;3.0;2.0;4.0;4.0;;;;;4
One-Pan Spaghetti;https://medlineplus.gov/recipes/one-pan-spaghetti/;5.0;5.0;5.0;3.0;5.0;5.0;1.0;3.0;2.0;4.0;3.0;;;;;4
Orange Delight;https://medlineplus.gov/recipes/orange-delight/;2.0;5.0;3.0;2.0;3.0;5.0;1.0;3.0;1.0;2.0;4.0;;;;;3
Oven Baked Salmon;https://medlineplus.gov/recipes/oven-baked-salmon/;4.0;5.0;4.0;3.0;5.0;3.0;4.0;3.0;4.0;4.0;5.0;;;;;3
Overnight Oatmeal;https://medlineplus.gov/recipes/overnight-oatmeal/;5.0;5.0;5.0;4.0;5.0;3.0;4.0;1.0;1.0;2.0;3.0;;;;;2
Overnight Oats for One;https://medlineplus.gov/recipes/overnight-oats-for-one/;5.0;5.0;5.0;4.0;5.0;3.0;4.0;1.0;0.0;2.0;4.0;;;;;2
Pasta Caprese;https://medlineplus.gov/recipes/pasta-caprese/;3.0;4.0;5.0;2.0;5.0;4.0;4.0;3.0;2.0;3.0;3.0;;;;;3
Pasta Ratatouille;https://medlineplus.gov/recipes/pasta-ratatouille/;0.0;4.0;5.0;3.0;1.0;3.0;4.0;3.0;1.0;4.0;4.0;;;;;3
Peach Salsa;https://medlineplus.gov/recipes/peach-salsa/;0.0;4.0;1.0;3.0;1.0;3.0;2.0;3.0;2.0;3.0;2.0;;;;;2
Peach Sundae;https://medlineplus.gov/recipes/peach-sundae/;5.0;4.0;3.0;3.0;4.0;4.0;1.0;3.0;3.0;2.0;4.0;;;;;1
Peach Yogurt Smoothie;https://medlineplus.gov/recipes/peach-yogurt-smoothie/;5.0;5.0;3.0;3.0;4.0;4.0;1.0;3.0;3.0;2.0;4.0;;;;;3
Peanut Butter Cereal Bars;https://medlineplus.gov/recipes/peanut-butter-cereal-bars/;3.0;0.0;4.0;3.0;2.0;3.0;4.0;1.0;3.0;2.0;2.0;;;;;1
Peanut Power Smoothie;https://medlineplus.gov/recipes/peanut-power-smoothie/;1.0;4.0;5.0;3.0;1.0;3.0;2.0;1.0;2.0;2.0;1.0;;;;;1
Perfect Hard-Cooked Eggs;https://medlineplus.gov/recipes/perfect-hard-cooked-eggs/;2.0;0.0;3.0;3.0;3.0;4.0;4.0;4.0;2.0;4.0;1.0;;;;;3
Pineapple Veggie Chicken;https://medlineplus.gov/recipes/pineapple-veggie-chicken/;2.0;4.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;3.0;2.0;;;;;3
Potato Wedges;https://medlineplus.gov/recipes/potato-wedges/;5.0;5.0;5.0;4.0;2.0;5.0;4.0;3.0;2.0;4.0;4.0;;;;;5
Pozole with Chicken;https://medlineplus.gov/recipes/pozole-with-chicken/;2.0;4.0;5.0;4.0;3.0;3.0;2.0;3.0;2.0;;2.0;;;;;3
Pumpkin Breakfast Cookies;https://medlineplus.gov/recipes/pumpkin-breakfast-cookies/;2.0;4.0;4.0;2.0;4.0;3.0;2.0;1.0;1.0;2.0;3.0;;;;;2
Pumpkin Ricotta Stuffed Shells;https://medlineplus.gov/recipes/pumpkin-ricotta-stuffed-shells/;1.0;4.0;4.0;2.0;4.0;2.0;4.0;1.0;2.0;2.0;1.0;;;;;1
Pumpkin Smoothie in a Cup;https://medlineplus.gov/recipes/pumpkin-smoothie-in-a-cup/;0.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;3.0;;;;;2
Pupusas Revueltas;https://medlineplus.gov/recipes/pupusas-revueltas/;1.0;4.0;3.0;3.0;4.0;3.0;4.0;1.0;0.0;;1.0;;;;;2
Quick Beef Casserole;https://medlineplus.gov/recipes/quick-beef-casserole/;3.0;5.0;2.0;3.0;2.0;4.0;3.0;3.0;2.0;3.0;4.0;;;;;4
Quick Black Bean Dip;https://medlineplus.gov/recipes/quick-black-bean-dip/;1.0;5.0;1.0;2.0;1.0;2.0;3.0;1.0;0.0;3.0;2.0;;;;;2
Quick Brown Bread;https://medlineplus.gov/recipes/quick-brown-bread/;3.0;5.0;4.0;3.0;5.0;3.0;2.0;3.0;0.0;3.0;3.0;;;;;3
Quick Lasagna;https://medlineplus.gov/recipes/quick-lasagna/;5.0;5.0;5.0;4.0;5.0;4.0;2.0;3.0;3.0;4.0;4.0;;;;;4
Quick Tomato Pasta Sauce;https://medlineplus.gov/recipes/quick-tomato-pasta-sauce/;5.0;5.0;5.0;4.0;5.0;4.0;3.0;2.0;1.0;4.0;3.0;;;;;3
Quick Tomato Salsa;https://medlineplus.gov/recipes/quick-tomato-salsa/;3.0;5.0;2.0;4.0;5.0;4.0;4.0;2.0;1.0;4.0;2.0;;;;;3
Quinoa Salad;https://medlineplus.gov/recipes/quinoa-salad/;3.0;3.0;2.0;3.0;5.0;2.0;4.0;1.0;1.0;4.0;2.0;;;;;1
Radish and Cucumber Salad;https://medlineplus.gov/recipes/radish-and-cucumber-salad/;0.0;3.0;4.0;4.0;1.0;3.0;4.0;1.0;0.0;2.0;1.0;;;;;1
Ramen Cabbage Salad;https://medlineplus.gov/recipes/ramen-cabbage-salad/;2.0;1.0;2.0;4.0;3.0;3.0;4.0;1.0;1.0;2.0;2.0;;;;;1
Ranch Dip;https://medlineplus.gov/recipes/ranch-dip/;1.0;1.0;4.0;3.0;1.0;3.0;1.0;1.0;1.0;4.0;1.0;;;;;4
Ranch Dressing;https://medlineplus.gov/recipes/ranch-dressing/;1.0;1.0;4.0;3.0;1.0;3.0;1.0;1.0;1.0;4.0;1.0;;;;;4
Raspberry Oatmeal Bars;https://medlineplus.gov/recipes/raspberry-oatmeal-bars/;5.0;5.0;4.0;4.0;4.0;3.0;3.0;1.0;2.0;2.0;3.0;;;;;3
Refried Beans;https://medlineplus.gov/recipes/refried-beans/;1.0;4.0;2.0;2.0;1.0;2.0;3.0;1.0;1.0;2.0;2.0;;;;;0
Refrigerator Pickled Cucumbers;https://medlineplus.gov/recipes/refrigerator-pickled-cucumbers/;2.0;0.0;3.0;3.0;1.0;3.0;3.0;2.0;0.0;4.0;0.0;;;;;0
Rice Bowl Southwestern Style;https://medlineplus.gov/recipes/rice-bowl-southwestern-style/;0.0;4.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;2.0;2.0;;;;;2
Rice with Black Beans and Sausage;https://medlineplus.gov/recipes/rice-with-black-beans-and-sausage/;0.0;4.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0;2.0;3.0;;;;;2
Rice with Chicken and Vegetables;https://medlineplus.gov/recipes/rice-with-chicken-and-vegetables/;5.0;4.0;4.0;4.0;5.0;3.0;3.0;3.0;4.0;4.0;4.0;;;;;3
Roasted Asparagus;https://medlineplus.gov/recipes/roasted-asparagus/;1.0;4.0;5.0;1.0;5.0;3.0;4.0;3.0;4.0;4.0;2.0;;;;;0
Roasted Cauliflower Steaks;https://medlineplus.gov/recipes/roasted-cauliflower-steaks/;3.0;5.0;4.0;4.0;5.0;3.0;4.0;2.0;2.0;3.0;2.0;;;;;1
Roasted Honey Mustard Brussels Sprouts;https://medlineplus.gov/recipes/roasted-honey-mustard-brussels-sprouts/;1.0;5.0;5.0;3.0;5.0;2.0;4.0;3.0;0.0;3.0;3.0;;;;;1
Roasted Parsnips and Carrots;https://medlineplus.gov/recipes/roasted-parsnips-and-carrots/;5.0;4.0;3.0;2.0;5.0;2.0;4.0;3.0;1.0;3.0;2.0;;;;;1
Salmon Pasta Skillet;https://medlineplus.gov/recipes/salmon-pasta-skillet/;3.0;4.0;4.0;4.0;5.0;3.0;4.0;3.0;4.0;3.0;5.0;;;;;3
Salmon Patties;https://medlineplus.gov/recipes/salmon-patties/;2.0;4.0;2.0;3.0;5.0;3.0;3.0;3.0;3.0;3.0;4.0;;;;;3
Salmon Salad Mix;https://medlineplus.gov/recipes/salmon-salad-mix/;3.0;4.0;2.0;3.0;5.0;2.0;2.0;3.0;2.0;3.0;3.0;;;;;2
Salsa Chicken;https://medlineplus.gov/recipes/salsa-chicken/;2.0;5.0;3.0;4.0;2.0;4.0;3.0;3.0;4.0;4.0;4.0;;;;;4
Sautéed Leeks and Apples;https://medlineplus.gov/recipes/sauteed-leeks-and-apples/;4.0;5.0;3.0;3.0;3.0;4.0;3.0;2.0;2.0;2.0;2.0;;;;;2
Sautéed Mung Beans;https://medlineplus.gov/recipes/sauteed-mung-beans/;0.0;5.0;3.0;2.0;1.0;3.0;2.0;1.0;0.0;2.0;1.0;;;;;2
Sautéed Peppers;https://medlineplus.gov/recipes/sauteed-peppers/;4.0;5.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0;3.0;3.0;;;;;2
Sautéed Zucchini;https://medlineplus.gov/recipes/sauteed-zucchini/;3.0;5.0;4.0;3.0;5.0;2.0;3.0;2.0;0.0;4.0;2.0;;;;;1
Savory Oatmeal;https://medlineplus.gov/recipes/savory-oatmeal/;1.0;2.0;1.0;4.0;5.0;3.0;3.0;1.0;1.0;2.0;2.0;;;;;0
Savory Sweet Potatoes;https://medlineplus.gov/recipes/savory-sweet-potatoes/;4.0;5.0;4.0;4.0;1.0;3.0;4.0;1.0;1.0;2.0;3.0;;;;;2
Sesame Broccoli;https://medlineplus.gov/recipes/sesame-broccoli/;4.0;5.0;1.0;4.0;5.0;3.0;4.0;2.0;1.0;4.0;3.0;;;;;1
Sesame Noodles with Broccoli and Chicken;https://medlineplus.gov/recipes/sesame-noodles-with-broccoli-and-chicken/;4.0;5.0;4.0;4.0;5.0;3.0;4.0;3.0;2.0;4.0;5.0;;;;;2
Skillet Braised Chicken;https://medlineplus.gov/recipes/skillet-braised-chicken/;3.0;5.0;3.0;3.0;5.0;4.0;4.0;3.0;3.0;4.0;4.0;;;;;4
Skillet Granola;https://medlineplus.gov/recipes/skillet-granola/;2.0;5.0;4.0;3.0;5.0;2.0;3.0;1.0;2.0;3.0;3.0;;;;;2
Skillet Mac and Cheese;https://medlineplus.gov/recipes/skillet-mac-and-cheese/;3.0;0.0;3.0;4.0;1.0;4.0;2.0;3.0;0.0;2.0;5.0;;;;;3
Southwestern Stuffed Potatoes;https://medlineplus.gov/recipes/southwestern-stuffed-potatoes/;2.0;4.0;4.0;4.0;1.0;4.0;3.0;2.0;1.0;2.0;3.0;;;;;3
Spaghetti Squash;https://medlineplus.gov/recipes/spaghetti-squash/;2.0;5.0;5.0;4.0;5.0;2.0;4.0;3.0;2.0;2.0;2.0;;;;;2
Spicy Rice Casserole;https://medlineplus.gov/recipes/spicy-rice-casserole/;1.0;3.0;5.0;4.0;5.0;3.0;4.0;2.0;1.0;2.0;2.0;;;;;2
Spinach and Black Bean Enchiladas;https://medlineplus.gov/recipes/spinach-and-black-bean-enchiladas/;0.0;4.0;3.0;3.0;1.0;3.0;3.0;1.0;1.0;4.0;1.0;;;;;1
Spinach and Chicken Italian;https://medlineplus.gov/recipes/spinach-and-chicken-italian/;5.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;;;;;2
Spring Fling Vegetable Chowder;https://medlineplus.gov/recipes/spring-fling-vegetable-chowder/;2.0;1.0;3.0;2.0;5.0;2.0;4.0;2.0;0.0;3.0;1.0;;;;;1
Spring Green Salad;https://medlineplus.gov/recipes/spring-green-salad/;1.0;3.0;1.0;3.0;3.0;3.0;4.0;2.0;1.0;3.0;2.0;;;;;1
Squash Blossom Quesadilla;https://medlineplus.gov/recipes/squash-blossom-quesadilla/;2.0;3.0;2.0;3.0;4.0;3.0;3.0;1.0;4.0;2.0;2.0;;;;;2
Steamed Chicken Wontons;https://medlineplus.gov/recipes/steamed-chicken-wontons/;3.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;2.0;4.0;3.0;;;;;3
Stir-Fried Beef and Potatoes;https://medlineplus.gov/recipes/stir-fried-beef-and-potatoes/;5.0;5.0;4.0;4.0;1.0;4.0;2.0;3.0;3.0;3.0;5.0;;;;;4
Stovetop Bulgur;https://medlineplus.gov/recipes/stovetop-bulgur/;0.0;3.0;4.0;3.0;4.0;2.0;3.0;1.0;1.0;2.0;1.0;;;;;2
Stovetop Quinoa;https://medlineplus.gov/recipes/stovetop-quinoa/;4.0;3.0;4.0;3.0;4.0;2.0;3.0;1.0;0.0;3.0;1.0;;;;;1
Stovetop Tuna Casserole;https://medlineplus.gov/recipes/stovetop-tuna-casserole/;3.0;3.0;1.0;4.0;4.0;3.0;2.0;3.0;3.0;3.0;1.0;;;;;3
Strawberry Salsa;https://medlineplus.gov/recipes/strawberry-salsa/;2.0;5.0;2.0;3.0;1.0;3.0;2.0;3.0;1.0;4.0;1.0;;;;;2
Succotash;https://medlineplus.gov/recipes/succotash/;1.0;3.0;2.0;3.0;1.0;2.0;2.0;2.0;0.0;;0.0;;;;;
Summer Breeze Smoothie;https://medlineplus.gov/recipes/summer-breeze-smoothie/;5.0;5.0;5.0;4.0;1.0;5.0;2.0;2.0;4.0;2.0;5.0;;;;;3
Superhero Shepherd's Pie;https://medlineplus.gov/recipes/superhero-shepherds-pie/;2.0;4.0;5.0;4.0;1.0;4.0;2.0;3.0;4.0;2.0;4.0;;;;;3
Sweet Potato and Orange Muffins;https://medlineplus.gov/recipes/sweet-potato-and-orange-muffins/;1.0;5.0;3.0;2.0;1.0;3.0;1.0;2.0;1.0;1.0;2.0;;;;;1
Tasty Hamburger Skillet;https://medlineplus.gov/recipes/tasty-hamburger-skillet/;5.0;5.0;5.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;4.0;;;;;4
Tofu Banana Pudding;https://medlineplus.gov/recipes/tofu-banana-pudding/;0.0;0.0;3.0;3.0;1.0;2.0;1.0;1.0;0.0;1.0;2.0;;;;;0
Tofu Scramble;https://medlineplus.gov/recipes/tofu-scramble/;0.0;4.0;2.0;3.0;1.0;2.0;1.0;1.0;0.0;2.0;4.0;;;;;0
Tomato Pasta Salad;https://medlineplus.gov/recipes/tomato-pasta-salad/;3.0;4.0;4.0;3.0;3.0;3.0;4.0;3.0;1.0;4.0;5.0;;;;;2
Tortilla Casserole;https://medlineplus.gov/recipes/tortilla-casserole/;3.0;4.0;3.0;2.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;;;;;4
Tropical Beets;https://medlineplus.gov/recipes/tropical-beets/;1.0;1.0;0.0;1.0;3.0;2.0;2.0;2.0;2.0;2.0;0.0;;;;;1
Tropical Carrot Salad;https://medlineplus.gov/recipes/tropical-carrot-salad/;1.0;3.0;1.0;2.0;4.0;3.0;2.0;2.0;1.0;2.0;1.0;;;;;1
Tuna Veggie Melt;https://medlineplus.gov/recipes/tuna-veggie-melt/;0.0;2.0;1.0;4.0;4.0;2.0;1.0;2.0;1.0;2.0;0.0;;;;;0
Turkey Cranberry Quesadilla;https://medlineplus.gov/recipes/turkey-cranberry-quesadilla/;3.0;5.0;4.0;3.0;3.0;2.0;4.0;2.0;4.0;3.0;1.0;;;;;2
Turkey Ginger Rice Lettuce Wraps;https://medlineplus.gov/recipes/turkey-ginger-rice-lettuce-wraps/;0.0;5.0;1.0;3.0;3.0;3.0;4.0;3.0;2.0;4.0;3.0;;;;;2
Turkey Pumpkin Chili;https://medlineplus.gov/recipes/turkey-pumpkin-chili/;1.0;5.0;1.0;2.0;1.0;3.0;3.0;2.0;3.0;2.0;2.0;;;;;2
Turkey Salad;https://medlineplus.gov/recipes/turkey-salad/;1.0;5.0;1.0;3.0;1.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;3
Turkey Stroganoff;https://medlineplus.gov/recipes/turkey-stroganoff/;3.0;1.0;3.0;3.0;1.0;3.0;2.0;3.0;2.0;3.0;2.0;;;;;
Un-beet-able Berry Smoothie;https://medlineplus.gov/recipes/un-beet-able-berry-smoothie/;5.0;5.0;1.0;3.0;1.0;2.0;4.0;2.0;3.0;2.0;2.0;;;;;3
Vegetable Beef Soup;https://medlineplus.gov/recipes/vegetable-beef-soup/;1.0;5.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;4.0;;;;;3
Vegetables and Turkey Stir-Fry;https://medlineplus.gov/recipes/vegetables-and-turkey-stir-fry/;3.0;4.0;2.0;3.0;1.0;3.0;3.0;2.0;3.0;4.0;3.0;;;;;3
Vegetarian Chili;https://medlineplus.gov/recipes/vegetarian-chili/;3.0;5.0;3.0;4.0;5.0;2.0;4.0;2.0;1.0;4.0;1.0;;;;;1
Vegetarian Cowboy Salad;https://medlineplus.gov/recipes/vegetarian-cowboy-salad/;0.0;4.0;1.0;3.0;1.0;2.0;4.0;2.0;1.0;;1.0;;;;;1
Vegetarian Tofu Enchiladas;https://medlineplus.gov/recipes/vegetarian-tofu-enchiladas/;0.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;0.0;2.0;1.0;;;;;0
Veggie Omelet in a Mug;https://medlineplus.gov/recipes/veggie-omelet-in-a-mug/;2.0;0.0;2.0;3.0;1.0;3.0;1.0;2.0;3.0;1.0;2.0;;;;;1
Veggie Quesadillas with Cilantro Yogurt Dip;https://medlineplus.gov/recipes/veggie-quesadillas-with-cilantro-yogurt-dip/;0.0;3.0;3.0;4.0;3.0;3.0;4.0;1.0;3.0;4.0;1.0;;;;;1
Veggie Quiche Muffins;https://medlineplus.gov/recipes/veggie-quiche-muffins/;0.0;0.0;1.0;3.0;3.0;3.0;3.0;1.0;1.0;4.0;2.0;;;;;1
Veggie Skillet Eggs;https://medlineplus.gov/recipes/veggie-skillet-eggs/;3.0;0.0;1.0;1.0;3.0;3.0;3.0;1.0;0.0;3.0;3.0;;;;;1
Veggie Stew;https://medlineplus.gov/recipes/veggie-stew/;3.0;3.0;2.0;2.0;5.0;2.0;3.0;1.0;0.0;3.0;3.0;;;;;1
Veggie and Egg Rice;https://medlineplus.gov/recipes/veggie-and-egg-rice/;5.0;0.0;3.0;4.0;5.0;3.0;4.0;1.0;1.0;4.0;4.0;;;;;1
Watermelon Cooler;https://medlineplus.gov/recipes/watermelon-cooler/;4.0;5.0;4.0;3.0;2.0;4.0;3.0;2.0;1.0;2.0;4.0;;;;;3
Watermelon and Fruit Salad;https://medlineplus.gov/recipes/watermelon-and-fruit-salad/;5.0;5.0;5.0;4.0;4.0;4.0;3.0;3.0;2.0;3.0;2.0;;;;;3
West African Peanut Soup;https://medlineplus.gov/recipes/west-african-peanut-soup/;5.0;1.0;4.0;2.0;5.0;2.0;2.0;1.0;3.0;2.0;0.0;;;;;2
White Chicken Chili;https://medlineplus.gov/recipes/white-chicken-chili/;2.0;4.0;2.0;4.0;5.0;3.0;4.0;2.0;4.0;3.0;1.0;;;;;3
Whole-Wheat Blueberry Muffins;https://medlineplus.gov/recipes/whole-wheat-blueberry-muffins/;4.0;5.0;4.0;5.0;5.0;4.0;3.0;2.0;2.0;2.0;4.0;;;;;3
Whole-Wheat Quick Bread;https://medlineplus.gov/recipes/whole-wheat-quick-bread/;5.0;5.0;5.0;3.0;5.0;3.0;1.0;1.0;1.0;2.0;3.0;;;;;3
Whole-Wheat Yogurt Rolls;https://medlineplus.gov/recipes/whole-wheat-yogurt-rolls/;1.0;5.0;5.0;4.0;5.0;3.0;1.0;2.0;3.0;2.0;3.0;;;;;3
Whole-Wheat Zucchini Bread;https://medlineplus.gov/recipes/whole-wheat-zucchini-bread/;0.0;5.0;4.0;3.0;5.0;2.0;2.0;2.0;1.0;3.0;2.0;;;;;1
Wild Rice with Salmon Stew;https://medlineplus.gov/recipes/wild-rice-with-salmon-stew/;1.0;3.0;3.0;1.0;5.0;2.0;4.0;3.0;4.0;4.0;4.0;;;;;3
Yogurt Fruit Dip;https://medlineplus.gov/recipes/yogurt-fruit-dip/;4.0;5.0;4.0;3.0;3.0;3.0;2.0;3.0;4.0;2.0;3.0;;;;;3
Zesty Tomato Soup;https://medlineplus.gov/recipes/zesty-tomato-soup/;5.0;5.0;5.0;5.0;5.0;4.0;4.0;3.0;2.0;3.0;4.0;;;;;3
Zucchini Pizza Boats;https://medlineplus.gov/recipes/zucchini-pizza-boats/;3.0;5.0;5.0;4.0;5.0;3.0;4.0;3.0;1.0;4.0;4.0;;;;;0
